id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_odtw,jumlah_odtw,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,ALAM,38,LOKASI,2014
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,BUDAYA,3,LOKASI,2014
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,MINAT KHUSUS,4,LOKASI,2014
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,ALAM,36,LOKASI,2014
5,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BUDAYA,7,LOKASI,2014
6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MINAT KHUSUS,7,LOKASI,2014
7,32,JAWA BARAT,3203,KABUPATEN CIANJUR,ALAM,12,LOKASI,2014
8,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BUDAYA,4,LOKASI,2014
9,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MINAT KHUSUS,1,LOKASI,2014
10,32,JAWA BARAT,3204,KABUPATEN BANDUNG,ALAM,39,LOKASI,2014
11,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BUDAYA,14,LOKASI,2014
12,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MINAT KHUSUS,0,LOKASI,2014
13,32,JAWA BARAT,3205,KABUPATEN GARUT,ALAM,28,LOKASI,2014
14,32,JAWA BARAT,3205,KABUPATEN GARUT,BUDAYA,5,LOKASI,2014
15,32,JAWA BARAT,3205,KABUPATEN GARUT,MINAT KHUSUS,6,LOKASI,2014
16,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,ALAM,10,LOKASI,2014
17,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BUDAYA,2,LOKASI,2014
18,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MINAT KHUSUS,1,LOKASI,2014
19,32,JAWA BARAT,3207,KABUPATEN CIAMIS,ALAM,11,LOKASI,2014
20,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BUDAYA,6,LOKASI,2014
21,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MINAT KHUSUS,6,LOKASI,2014
22,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,ALAM,19,LOKASI,2014
23,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BUDAYA,6,LOKASI,2014
24,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MINAT KHUSUS,3,LOKASI,2014
25,32,JAWA BARAT,3209,KABUPATEN CIREBON,ALAM,7,LOKASI,2014
26,32,JAWA BARAT,3209,KABUPATEN CIREBON,BUDAYA,4,LOKASI,2014
27,32,JAWA BARAT,3209,KABUPATEN CIREBON,MINAT KHUSUS,0,LOKASI,2014
28,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,ALAM,11,LOKASI,2014
29,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BUDAYA,0,LOKASI,2014
30,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MINAT KHUSUS,2,LOKASI,2014
31,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,ALAM,14,LOKASI,2014
32,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BUDAYA,7,LOKASI,2014
33,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MINAT KHUSUS,8,LOKASI,2014
34,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,ALAM,4,LOKASI,2014
35,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BUDAYA,1,LOKASI,2014
36,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MINAT KHUSUS,0,LOKASI,2014
37,32,JAWA BARAT,3213,KABUPATEN SUBANG,ALAM,31,LOKASI,2014
38,32,JAWA BARAT,3213,KABUPATEN SUBANG,BUDAYA,11,LOKASI,2014
39,32,JAWA BARAT,3213,KABUPATEN SUBANG,MINAT KHUSUS,25,LOKASI,2014
40,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,ALAM,9,LOKASI,2014
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BUDAYA,7,LOKASI,2014
42,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MINAT KHUSUS,8,LOKASI,2014
43,32,JAWA BARAT,3215,KABUPATEN KARAWANG,ALAM,12,LOKASI,2014
44,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BUDAYA,9,LOKASI,2014
45,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MINAT KHUSUS,3,LOKASI,2014
46,32,JAWA BARAT,3216,KABUPATEN BEKASI,ALAM,4,LOKASI,2014
47,32,JAWA BARAT,3216,KABUPATEN BEKASI,BUDAYA,3,LOKASI,2014
48,32,JAWA BARAT,3216,KABUPATEN BEKASI,MINAT KHUSUS,3,LOKASI,2014
49,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,ALAM,26,LOKASI,2014
50,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BUDAYA,10,LOKASI,2014
51,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MINAT KHUSUS,3,LOKASI,2014
52,32,JAWA BARAT,3271,KOTA BOGOR,ALAM,0,LOKASI,2014
53,32,JAWA BARAT,3271,KOTA BOGOR,BUDAYA,2,LOKASI,2014
54,32,JAWA BARAT,3271,KOTA BOGOR,MINAT KHUSUS,55,LOKASI,2014
55,32,JAWA BARAT,3272,KOTA SUKABUMI,ALAM,2,LOKASI,2014
56,32,JAWA BARAT,3272,KOTA SUKABUMI,BUDAYA,0,LOKASI,2014
57,32,JAWA BARAT,3272,KOTA SUKABUMI,MINAT KHUSUS,0,LOKASI,2014
58,32,JAWA BARAT,3273,KOTA BANDUNG,ALAM,3,LOKASI,2014
59,32,JAWA BARAT,3273,KOTA BANDUNG,BUDAYA,3,LOKASI,2014
60,32,JAWA BARAT,3273,KOTA BANDUNG,MINAT KHUSUS,8,LOKASI,2014
61,32,JAWA BARAT,3274,KOTA CIREBON,ALAM,1,LOKASI,2014
62,32,JAWA BARAT,3274,KOTA CIREBON,BUDAYA,8,LOKASI,2014
63,32,JAWA BARAT,3274,KOTA CIREBON,MINAT KHUSUS,1,LOKASI,2014
64,32,JAWA BARAT,3275,KOTA BEKASI,ALAM,0,LOKASI,2014
65,32,JAWA BARAT,3275,KOTA BEKASI,BUDAYA,0,LOKASI,2014
66,32,JAWA BARAT,3275,KOTA BEKASI,MINAT KHUSUS,0,LOKASI,2014
67,32,JAWA BARAT,3276,KOTA DEPOK,ALAM,6,LOKASI,2014
68,32,JAWA BARAT,3276,KOTA DEPOK,BUDAYA,0,LOKASI,2014
69,32,JAWA BARAT,3276,KOTA DEPOK,MINAT KHUSUS,0,LOKASI,2014
70,32,JAWA BARAT,3277,KOTA CIMAHI,ALAM,0,LOKASI,2014
71,32,JAWA BARAT,3277,KOTA CIMAHI,BUDAYA,0,LOKASI,2014
72,32,JAWA BARAT,3277,KOTA CIMAHI,MINAT KHUSUS,0,LOKASI,2014
73,32,JAWA BARAT,3278,KOTA TASIKMALAYA,ALAM,3,LOKASI,2014
74,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BUDAYA,4,LOKASI,2014
75,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MINAT KHUSUS,0,LOKASI,2014
76,32,JAWA BARAT,3279,KOTA BANJAR,ALAM,1,LOKASI,2014
77,32,JAWA BARAT,3279,KOTA BANJAR,BUDAYA,0,LOKASI,2014
78,32,JAWA BARAT,3279,KOTA BANJAR,MINAT KHUSUS,0,LOKASI,2014
79,32,JAWA BARAT,3201,KABUPATEN BOGOR,ALAM,38,LOKASI,2015
80,32,JAWA BARAT,3201,KABUPATEN BOGOR,BUDAYA,3,LOKASI,2015
81,32,JAWA BARAT,3201,KABUPATEN BOGOR,MINAT KHUSUS,4,LOKASI,2015
82,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,ALAM,36,LOKASI,2015
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BUDAYA,7,LOKASI,2015
84,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MINAT KHUSUS,7,LOKASI,2015
85,32,JAWA BARAT,3203,KABUPATEN CIANJUR,ALAM,9,LOKASI,2015
86,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BUDAYA,3,LOKASI,2015
87,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MINAT KHUSUS,4,LOKASI,2015
88,32,JAWA BARAT,3204,KABUPATEN BANDUNG,ALAM,78,LOKASI,2015
89,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BUDAYA,41,LOKASI,2015
90,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MINAT KHUSUS,0,LOKASI,2015
91,32,JAWA BARAT,3205,KABUPATEN GARUT,ALAM,28,LOKASI,2015
92,32,JAWA BARAT,3205,KABUPATEN GARUT,BUDAYA,5,LOKASI,2015
93,32,JAWA BARAT,3205,KABUPATEN GARUT,MINAT KHUSUS,6,LOKASI,2015
94,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,ALAM,10,LOKASI,2015
95,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BUDAYA,2,LOKASI,2015
96,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MINAT KHUSUS,1,LOKASI,2015
97,32,JAWA BARAT,3207,KABUPATEN CIAMIS,ALAM,1,LOKASI,2015
98,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BUDAYA,6,LOKASI,2015
99,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MINAT KHUSUS,2,LOKASI,2015
100,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,ALAM,19,LOKASI,2015
101,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BUDAYA,6,LOKASI,2015
102,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MINAT KHUSUS,3,LOKASI,2015
103,32,JAWA BARAT,3209,KABUPATEN CIREBON,ALAM,7,LOKASI,2015
104,32,JAWA BARAT,3209,KABUPATEN CIREBON,BUDAYA,4,LOKASI,2015
105,32,JAWA BARAT,3209,KABUPATEN CIREBON,MINAT KHUSUS,0,LOKASI,2015
106,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,ALAM,9,LOKASI,2015
107,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BUDAYA,0,LOKASI,2015
108,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MINAT KHUSUS,0,LOKASI,2015
109,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,ALAM,10,LOKASI,2015
110,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BUDAYA,7,LOKASI,2015
111,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MINAT KHUSUS,5,LOKASI,2015
112,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,ALAM,4,LOKASI,2015
113,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BUDAYA,1,LOKASI,2015
114,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MINAT KHUSUS,0,LOKASI,2015
115,32,JAWA BARAT,3213,KABUPATEN SUBANG,ALAM,31,LOKASI,2015
116,32,JAWA BARAT,3213,KABUPATEN SUBANG,BUDAYA,11,LOKASI,2015
117,32,JAWA BARAT,3213,KABUPATEN SUBANG,MINAT KHUSUS,25,LOKASI,2015
118,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,ALAM,9,LOKASI,2015
119,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BUDAYA,7,LOKASI,2015
120,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MINAT KHUSUS,9,LOKASI,2015
121,32,JAWA BARAT,3215,KABUPATEN KARAWANG,ALAM,12,LOKASI,2015
122,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BUDAYA,9,LOKASI,2015
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MINAT KHUSUS,3,LOKASI,2015
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,ALAM,4,LOKASI,2015
125,32,JAWA BARAT,3216,KABUPATEN BEKASI,BUDAYA,3,LOKASI,2015
126,32,JAWA BARAT,3216,KABUPATEN BEKASI,MINAT KHUSUS,3,LOKASI,2015
127,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,ALAM,26,LOKASI,2015
128,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BUDAYA,10,LOKASI,2015
129,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MINAT KHUSUS,3,LOKASI,2015
130,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,ALAM,0,LOKASI,2015
131,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BUDAYA,0,LOKASI,2015
132,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MINAT KHUSUS,0,LOKASI,2015
133,32,JAWA BARAT,3271,KOTA BOGOR,ALAM,0,LOKASI,2015
134,32,JAWA BARAT,3271,KOTA BOGOR,BUDAYA,2,LOKASI,2015
135,32,JAWA BARAT,3271,KOTA BOGOR,MINAT KHUSUS,55,LOKASI,2015
136,32,JAWA BARAT,3272,KOTA SUKABUMI,ALAM,2,LOKASI,2015
137,32,JAWA BARAT,3272,KOTA SUKABUMI,BUDAYA,0,LOKASI,2015
138,32,JAWA BARAT,3272,KOTA SUKABUMI,MINAT KHUSUS,0,LOKASI,2015
139,32,JAWA BARAT,3273,KOTA BANDUNG,ALAM,3,LOKASI,2015
140,32,JAWA BARAT,3273,KOTA BANDUNG,BUDAYA,3,LOKASI,2015
141,32,JAWA BARAT,3273,KOTA BANDUNG,MINAT KHUSUS,8,LOKASI,2015
142,32,JAWA BARAT,3274,KOTA CIREBON,ALAM,1,LOKASI,2015
143,32,JAWA BARAT,3274,KOTA CIREBON,BUDAYA,8,LOKASI,2015
144,32,JAWA BARAT,3274,KOTA CIREBON,MINAT KHUSUS,1,LOKASI,2015
145,32,JAWA BARAT,3275,KOTA BEKASI,ALAM,0,LOKASI,2015
146,32,JAWA BARAT,3275,KOTA BEKASI,BUDAYA,0,LOKASI,2015
147,32,JAWA BARAT,3275,KOTA BEKASI,MINAT KHUSUS,0,LOKASI,2015
148,32,JAWA BARAT,3276,KOTA DEPOK,ALAM,6,LOKASI,2015
149,32,JAWA BARAT,3276,KOTA DEPOK,BUDAYA,0,LOKASI,2015
150,32,JAWA BARAT,3276,KOTA DEPOK,MINAT KHUSUS,0,LOKASI,2015
151,32,JAWA BARAT,3277,KOTA CIMAHI,ALAM,0,LOKASI,2015
152,32,JAWA BARAT,3277,KOTA CIMAHI,BUDAYA,0,LOKASI,2015
153,32,JAWA BARAT,3277,KOTA CIMAHI,MINAT KHUSUS,0,LOKASI,2015
154,32,JAWA BARAT,3278,KOTA TASIKMALAYA,ALAM,3,LOKASI,2015
155,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BUDAYA,4,LOKASI,2015
156,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MINAT KHUSUS,0,LOKASI,2015
157,32,JAWA BARAT,3279,KOTA BANJAR,ALAM,1,LOKASI,2015
158,32,JAWA BARAT,3279,KOTA BANJAR,BUDAYA,0,LOKASI,2015
159,32,JAWA BARAT,3279,KOTA BANJAR,MINAT KHUSUS,0,LOKASI,2015
160,32,JAWA BARAT,3201,KABUPATEN BOGOR,ALAM,38,LOKASI,2016
161,32,JAWA BARAT,3201,KABUPATEN BOGOR,BUDAYA,3,LOKASI,2016
162,32,JAWA BARAT,3201,KABUPATEN BOGOR,MINAT KHUSUS,4,LOKASI,2016
163,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,ALAM,36,LOKASI,2016
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BUDAYA,7,LOKASI,2016
165,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MINAT KHUSUS,7,LOKASI,2016
166,32,JAWA BARAT,3203,KABUPATEN CIANJUR,ALAM,9,LOKASI,2016
167,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BUDAYA,3,LOKASI,2016
168,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MINAT KHUSUS,4,LOKASI,2016
169,32,JAWA BARAT,3204,KABUPATEN BANDUNG,ALAM,56,LOKASI,2016
170,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BUDAYA,8,LOKASI,2016
171,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MINAT KHUSUS,0,LOKASI,2016
172,32,JAWA BARAT,3205,KABUPATEN GARUT,ALAM,24,LOKASI,2016
173,32,JAWA BARAT,3205,KABUPATEN GARUT,BUDAYA,10,LOKASI,2016
174,32,JAWA BARAT,3205,KABUPATEN GARUT,MINAT KHUSUS,4,LOKASI,2016
175,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,ALAM,10,LOKASI,2016
176,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BUDAYA,2,LOKASI,2016
177,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MINAT KHUSUS,1,LOKASI,2016
178,32,JAWA BARAT,3207,KABUPATEN CIAMIS,ALAM,2,LOKASI,2016
179,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BUDAYA,6,LOKASI,2016
180,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MINAT KHUSUS,1,LOKASI,2016
181,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,ALAM,19,LOKASI,2016
182,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BUDAYA,6,LOKASI,2016
183,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MINAT KHUSUS,3,LOKASI,2016
184,32,JAWA BARAT,3209,KABUPATEN CIREBON,ALAM,7,LOKASI,2016
185,32,JAWA BARAT,3209,KABUPATEN CIREBON,BUDAYA,4,LOKASI,2016
186,32,JAWA BARAT,3209,KABUPATEN CIREBON,MINAT KHUSUS,0,LOKASI,2016
187,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,ALAM,29,LOKASI,2016
188,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BUDAYA,9,LOKASI,2016
189,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MINAT KHUSUS,11,LOKASI,2016
190,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,ALAM,12,LOKASI,2016
191,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BUDAYA,7,LOKASI,2016
192,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MINAT KHUSUS,5,LOKASI,2016
193,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,ALAM,1,LOKASI,2016
194,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BUDAYA,0,LOKASI,2016
195,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MINAT KHUSUS,0,LOKASI,2016
196,32,JAWA BARAT,3213,KABUPATEN SUBANG,ALAM,27,LOKASI,2016
197,32,JAWA BARAT,3213,KABUPATEN SUBANG,BUDAYA,9,LOKASI,2016
198,32,JAWA BARAT,3213,KABUPATEN SUBANG,MINAT KHUSUS,23,LOKASI,2016
199,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,ALAM,9,LOKASI,2016
200,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BUDAYA,8,LOKASI,2016
201,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MINAT KHUSUS,9,LOKASI,2016
202,32,JAWA BARAT,3215,KABUPATEN KARAWANG,ALAM,12,LOKASI,2016
203,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BUDAYA,9,LOKASI,2016
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MINAT KHUSUS,3,LOKASI,2016
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,ALAM,4,LOKASI,2016
206,32,JAWA BARAT,3216,KABUPATEN BEKASI,BUDAYA,3,LOKASI,2016
207,32,JAWA BARAT,3216,KABUPATEN BEKASI,MINAT KHUSUS,3,LOKASI,2016
208,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,ALAM,26,LOKASI,2016
209,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BUDAYA,10,LOKASI,2016
210,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MINAT KHUSUS,3,LOKASI,2016
211,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,ALAM,11,LOKASI,2016
212,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BUDAYA,5,LOKASI,2016
213,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MINAT KHUSUS,14,LOKASI,2016
214,32,JAWA BARAT,3271,KOTA BOGOR,ALAM,5,LOKASI,2016
215,32,JAWA BARAT,3271,KOTA BOGOR,BUDAYA,8,LOKASI,2016
216,32,JAWA BARAT,3271,KOTA BOGOR,MINAT KHUSUS,9,LOKASI,2016
217,32,JAWA BARAT,3272,KOTA SUKABUMI,ALAM,2,LOKASI,2016
218,32,JAWA BARAT,3272,KOTA SUKABUMI,BUDAYA,0,LOKASI,2016
219,32,JAWA BARAT,3272,KOTA SUKABUMI,MINAT KHUSUS,0,LOKASI,2016
220,32,JAWA BARAT,3273,KOTA BANDUNG,ALAM,3,LOKASI,2016
221,32,JAWA BARAT,3273,KOTA BANDUNG,BUDAYA,3,LOKASI,2016
222,32,JAWA BARAT,3273,KOTA BANDUNG,MINAT KHUSUS,8,LOKASI,2016
223,32,JAWA BARAT,3274,KOTA CIREBON,ALAM,1,LOKASI,2016
224,32,JAWA BARAT,3274,KOTA CIREBON,BUDAYA,14,LOKASI,2016
225,32,JAWA BARAT,3274,KOTA CIREBON,MINAT KHUSUS,2,LOKASI,2016
226,32,JAWA BARAT,3275,KOTA BEKASI,ALAM,0,LOKASI,2016
227,32,JAWA BARAT,3275,KOTA BEKASI,BUDAYA,0,LOKASI,2016
228,32,JAWA BARAT,3275,KOTA BEKASI,MINAT KHUSUS,0,LOKASI,2016
229,32,JAWA BARAT,3276,KOTA DEPOK,ALAM,6,LOKASI,2016
230,32,JAWA BARAT,3276,KOTA DEPOK,BUDAYA,6,LOKASI,2016
231,32,JAWA BARAT,3276,KOTA DEPOK,MINAT KHUSUS,9,LOKASI,2016
232,32,JAWA BARAT,3277,KOTA CIMAHI,ALAM,3,LOKASI,2016
233,32,JAWA BARAT,3277,KOTA CIMAHI,BUDAYA,2,LOKASI,2016
234,32,JAWA BARAT,3277,KOTA CIMAHI,MINAT KHUSUS,1,LOKASI,2016
235,32,JAWA BARAT,3278,KOTA TASIKMALAYA,ALAM,4,LOKASI,2016
236,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BUDAYA,5,LOKASI,2016
237,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MINAT KHUSUS,2,LOKASI,2016
238,32,JAWA BARAT,3279,KOTA BANJAR,ALAM,1,LOKASI,2016
239,32,JAWA BARAT,3279,KOTA BANJAR,BUDAYA,1,LOKASI,2016
240,32,JAWA BARAT,3279,KOTA BANJAR,MINAT KHUSUS,0,LOKASI,2016
241,32,JAWA BARAT,3201,KABUPATEN BOGOR,ALAM,55,LOKASI,2017
242,32,JAWA BARAT,3201,KABUPATEN BOGOR,BUDAYA,3,LOKASI,2017
243,32,JAWA BARAT,3201,KABUPATEN BOGOR,MINAT KHUSUS,28,LOKASI,2017
244,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,ALAM,36,LOKASI,2017
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BUDAYA,7,LOKASI,2017
246,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MINAT KHUSUS,7,LOKASI,2017
247,32,JAWA BARAT,3203,KABUPATEN CIANJUR,ALAM,12,LOKASI,2017
248,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BUDAYA,3,LOKASI,2017
249,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MINAT KHUSUS,4,LOKASI,2017
250,32,JAWA BARAT,3204,KABUPATEN BANDUNG,ALAM,56,LOKASI,2017
251,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BUDAYA,8,LOKASI,2017
252,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MINAT KHUSUS,0,LOKASI,2017
253,32,JAWA BARAT,3205,KABUPATEN GARUT,ALAM,30,LOKASI,2017
254,32,JAWA BARAT,3205,KABUPATEN GARUT,BUDAYA,6,LOKASI,2017
255,32,JAWA BARAT,3205,KABUPATEN GARUT,MINAT KHUSUS,7,LOKASI,2017
256,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,ALAM,59,LOKASI,2017
257,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BUDAYA,84,LOKASI,2017
258,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MINAT KHUSUS,3,LOKASI,2017
259,32,JAWA BARAT,3207,KABUPATEN CIAMIS,ALAM,82,LOKASI,2017
260,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BUDAYA,45,LOKASI,2017
261,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MINAT KHUSUS,2,LOKASI,2017
262,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,ALAM,19,LOKASI,2017
263,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BUDAYA,6,LOKASI,2017
264,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MINAT KHUSUS,3,LOKASI,2017
