id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,mobil_penumpang,bus,truk,sepeda_motor,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,169050,1003,45186,1410656,UNIT,2021
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,37934,466,19915,472247,UNIT,2021
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,36400,657,18434,403660,UNIT,2021
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,115386,996,36418,937165,UNIT,2021
5,32,JAWA BARAT,3205,KABUPATEN GARUT,30959,893,15451,382515,UNIT,2021
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,19672,663,10750,275572,UNIT,2021
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,20685,948,10885,245510,UNIT,2021
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,25707,797,8556,301300,UNIT,2021
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,50185,1271,22894,637662,UNIT,2021
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,22436,948,12266,332757,UNIT,2021
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,23318,447,9402,277612,UNIT,2021
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,32645,858,16717,477749,UNIT,2021
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,27248,489,11920,402836,UNIT,2021
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,29849,386,10263,265555,UNIT,2021
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,85658,1407,29211,733854,UNIT,2021
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,206445,3415,57024,1222091,UNIT,2021
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,64631,538,21201,529885,UNIT,2021
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5628,54,3999,80263,UNIT,2021
19,32,JAWA BARAT,3271,KOTA BOGOR,88704,674,11666,358167,UNIT,2021
20,32,JAWA BARAT,3272,KOTA SUKABUMI,19241,642,5077,94484,UNIT,2021
21,32,JAWA BARAT,3273,KOTA BANDUNG,368410,5857,66448,1128080,UNIT,2021
22,32,JAWA BARAT,3274,KOTA CIREBON,29085,418,12656,130618,UNIT,2021
23,32,JAWA BARAT,3275,KOTA BEKASI,295283,2611,49129,1186853,UNIT,2021
24,32,JAWA BARAT,3276,KOTA DEPOK,184159,767,18969,931338,UNIT,2021
25,32,JAWA BARAT,3277,KOTA CIMAHI,45916,264,6741,240642,UNIT,2021
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,27484,1402,12039,200263,UNIT,2021
27,32,JAWA BARAT,3279,KOTA BANJAR,5236,51,2377,59464,UNIT,2021
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,174391,971,46175,1420066,UNIT,2022
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,40188,454,19983,467256,UNIT,2022
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,38217,647,18949,407425,UNIT,2022
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,119820,964,36697,944465,UNIT,2022
32,32,JAWA BARAT,3205,KABUPATEN GARUT,33352,916,15799,385236,UNIT,2022
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,21384,639,11154,282206,UNIT,2022
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,22074,930,11123,248261,UNIT,2022
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,26843,750,8698,303618,UNIT,2022
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,53290,1255,23831,649864,UNIT,2022
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,23476,879,12026,334837,UNIT,2022
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,24195,417,9398,280392,UNIT,2022
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,35181,825,17175,476560,UNIT,2022
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,28985,462,11713,394115,UNIT,2022
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,31718,334,10463,266862,UNIT,2022
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,89817,1375,29151,733791,UNIT,2022
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,212563,3367,58017,1220358,UNIT,2022
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,66197,502,20851,535359,UNIT,2022
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6283,52,4103,78973,UNIT,2022
46,32,JAWA BARAT,3271,KOTA BOGOR,90003,690,11620,359716,UNIT,2022
47,32,JAWA BARAT,3272,KOTA SUKABUMI,19138,565,4966,94263,UNIT,2022
48,32,JAWA BARAT,3273,KOTA BANDUNG,368406,5654,66345,1112336,UNIT,2022
49,32,JAWA BARAT,3274,KOTA CIREBON,29501,415,12540,130628,UNIT,2022
50,32,JAWA BARAT,3275,KOTA BEKASI,296114,2494,49917,1160088,UNIT,2022
51,32,JAWA BARAT,3276,KOTA DEPOK,186204,727,18954,919479,UNIT,2022
52,32,JAWA BARAT,3277,KOTA CIMAHI,45874,242,6603,238848,UNIT,2022
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,27319,1264,11676,199579,UNIT,2022
54,32,JAWA BARAT,3279,KOTA BANJAR,5606,48,2429,58677,UNIT,2022
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,184107,973,48429,1433350,UNIT,2023
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,42610,468,20506,470842,UNIT,2023
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,40053,641,19337,410835,UNIT,2023
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,125496,982,37762,957033,UNIT,2023
59,32,JAWA BARAT,3205,KABUPATEN GARUT,35819,915,16232,388271,UNIT,2023
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,23041,636,11416,286980,UNIT,2023
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,23554,925,11436,247921,UNIT,2023
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,28238,599,8926,307202,UNIT,2023
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,56054,1263,24539,658894,UNIT,2023
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,24816,859,12123,336538,UNIT,2023
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,25420,355,9632,285436,UNIT,2023
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,37554,799,17552,478009,UNIT,2023
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,31871,451,12321,400362,UNIT,2023
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,33335,313,10820,267994,UNIT,2023
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,95760,1382,30066,738650,UNIT,2023
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,222775,3315,59726,1227730,UNIT,2023
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,69830,516,21395,541983,UNIT,2023
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6822,47,4175,78327,UNIT,2023
73,32,JAWA BARAT,3271,KOTA BOGOR,93048,621,11772,362278,UNIT,2023
74,32,JAWA BARAT,3272,KOTA SUKABUMI,19553,515,5073,95566,UNIT,2023
75,32,JAWA BARAT,3273,KOTA BANDUNG,372806,5512,65987,1107464,UNIT,2023
76,32,JAWA BARAT,3274,KOTA CIREBON,29964,411,12426,130009,UNIT,2023
77,32,JAWA BARAT,3275,KOTA BEKASI,300651,2331,51445,1147706,UNIT,2023
78,32,JAWA BARAT,3276,KOTA DEPOK,192821,698,19245,926839,UNIT,2023
79,32,JAWA BARAT,3277,KOTA CIMAHI,46876,246,6616,239042,UNIT,2023
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,28825,1302,12231,201379,UNIT,2023
81,32,JAWA BARAT,3279,KOTA BANJAR,5953,58,2501,59135,UNIT,2023
